time	V(audio_out)
4.098861242008217e-003	3.850868e+000
4.102523110765342e-003	4.077054e+000
4.105513554752197e-003	4.331500e+000
4.108864211425074e-003	4.685329e+000
4.111960991299171e-003	5.049590e+000
4.113459048066536e-003	5.228373e+000
4.114394575149756e-003	5.331900e+000
4.114888987415459e-003	5.379364e+000
4.115219865876876e-003	5.405883e+000
4.115659242490287e-003	5.434056e+000
4.116335998123348e-003	5.466714e+000
4.116985205409650e-003	5.488433e+000
4.117615255421937e-003	5.502089e+000
4.118239922215691e-003	5.510798e+000
4.119097009617027e-003	5.518532e+000
4.120030244027464e-003	5.524052e+000
4.121223914459205e-003	5.528580e+000
4.122641719315785e-003	5.531813e+000
4.124262348590813e-003	5.533223e+000
4.126225662721753e-003	5.531940e+000
4.128495008343536e-003	5.525894e+000
4.132173379833476e-003	5.505462e+000
4.137056192333476e-003	5.457780e+000
4.141939004833476e-003	5.380458e+000
4.145432997422836e-003	5.290909e+000
4.148869318878174e-003	5.148832e+000
4.152529786154320e-003	4.922327e+000
4.155539204063535e-003	4.665843e+000
4.158908986573504e-003	4.309605e+000
4.161951617430759e-003	3.951488e+000
4.163458761112813e-003	3.771647e+000
4.164403001538999e-003	3.667334e+000
4.164902502339204e-003	3.619550e+000
4.165234603117732e-003	3.593121e+000
4.165687728610200e-003	3.564347e+000
4.166355297667902e-003	3.532490e+000
4.167000613963414e-003	3.511165e+000
4.167632149943453e-003	3.497614e+000
4.168266815254593e-003	3.488864e+000
4.169132986066560e-003	3.481170e+000
4.170088217488739e-003	3.475631e+000
4.171280030336066e-003	3.471204e+000
4.172695346002054e-003	3.468034e+000
4.174228851231049e-003	3.466723e+000
4.176213188730258e-003	3.468015e+000
4.178474719706167e-003	3.473992e+000
4.182140647837664e-003	3.494269e+000
4.187023460337664e-003	3.541773e+000
4.191906272837664e-003	3.618947e+000
4.195441473904216e-003	3.709460e+000
4.198875475986978e-003	3.851512e+000
4.202546857172232e-003	4.079143e+000
4.205580542804942e-003	4.338222e+000
4.208952353715192e-003	4.695127e+000
4.211920138182568e-003	5.044769e+000
4.213434298190850e-003	5.225931e+000
4.214355036977796e-003	5.328192e+000
4.214871951634842e-003	5.378130e+000
4.215200304762951e-003	5.404644e+000
4.215646065132218e-003	5.433414e+000
4.216321831607721e-003	5.466272e+000
4.216968043673632e-003	5.487991e+000
